ind;time;dominant_HSV
0601palmer_sem6_num1;110;2.0
0603palmer_sem6_num2;110;3.5
0605palmer_sem6_num3;110;1.5
0607palmer_sem6_num4;110;2.5
0609palmer_sem6_num5;110;2.0
0611palmer_sem6_num6;110;1.5
0613palmer_sem6_num7;110;2.0
0615palmer_sem6_num8;110;3.0
0617palmer_sem6_num9;110;2.0
0619palmer_sem6_num10;110;1.5
0621palmer_sem6_num11;110;2.5
0623palmer_sem6_num12;110;1.5
0625palmer_sem6_num13;110;1.0
0627palmer_sem6_num14;110;1.0
0629palmer_sem6_num15;110;1.5
0631palmer_sem6_num16;110;1.0
0633palmer_sem6_num17;110;2.0
0635palmer_sem6_num18;110;2.5
0637palmer_sem6_num19;110;2.0
0639palmer_sem6_num20;110;2.0
0641palmer_sem6_num21;110;2.0
0643palmer_sem6_num22;110;3.0
0645palmer_sem6_num23;110;2.5
0647palmer_sem6_num24;110;2.0
0649palmer_sem6_num25;110;2.5
0651palmer_sem6_num26;110;1.0
0653palmer_sem6_num27;110;1.5
0655palmer_sem6_num28;110;1.5
0657palmer_sem6_num29;110;1.0
0659palmer_sem6_num30;110;1.5
0661palmer_sem6_num31;110;2.5
0663palmer_sem6_num32;110;2.0
0665palmer_sem6_num33;110;2.0
0667palmer_sem6_num34;110;1.5
0669palmer_sem6_num35;110;1.5
0671palmer_sem6_num36;110;1.5
0673palmer_sem6_num37;110;1.0
0675palmer_sem6_num38;110;2.0
0677palmer_sem6_num39;110;2.5
0679palmer_sem6_num40;110;2.5
0681palmer_sem6_num41;110;2.5
0683palmer_sem6_num42;110;2.0
0685palmer_sem6_num43;110;2.0
0687palmer_sem6_num44;110;2.0
0689palmer_sem6_num45;110;2.5
0691palmer_sem6_num46;110;2.0
0693palmer_sem6_num47;110;2.5
0695palmer_sem6_num48;110;3.0
0697palmer_sem6_num49;110;2.0
0699palmer_sem6_num50;110;2.0
0701palmer_sem6_num51;110;2.0
0703palmer_sem6_num52;110;1.5
0705palmer_sem6_num53;110;2.5
0707palmer_sem6_num54;110;2.5
0709palmer_sem6_num55;110;2.5
0711palmer_sem6_num56;110;1.5
0713palmer_sem6_num57;110;2.0
0715palmer_sem6_num58;110;2.0
0717palmer_sem6_num59;110;2.5
0719palmer_sem6_num60;110;3.0
0721palmer_sem7_num1;125;1.0
0723palmer_sem7_num2;125;1.0
0725palmer_sem7_num3;125;1.0
0727palmer_sem7_num4;125;1.0
0729palmer_sem7_num5;125;1.5
0731palmer_sem7_num6;125;1.5
0733palmer_sem7_num7;125;1.0
0735palmer_sem7_num8;125;2.0
0737palmer_sem7_num9;125;1.5
0739palmer_sem7_num10;125;1.5
0741palmer_sem7_num11;125;1.0
0743palmer_sem7_num12;125;1.0
0745palmer_sem7_num13;125;2.0
0747palmer_sem7_num14;125;1.5
0749palmer_sem7_num15;125;2.0
0751palmer_sem7_num16;125;1.5
0753palmer_sem7_num17;125;2.0
0755palmer_sem7_num18;125;1.5
0757palmer_sem7_num19;125;2.0
0759palmer_sem7_num20;125;2.0
0761palmer_sem7_num21;125;3.0
0763palmer_sem7_num22;125;1.5
0765palmer_sem7_num23;125;2.0
0767palmer_sem7_num24;125;1.0
0769palmer_sem7_num25;125;1.5
0771palmer_sem7_num26;125;1.5
0773palmer_sem7_num27;125;1.0
0775palmer_sem7_num28;125;1.0
0777palmer_sem7_num29;125;2.0
0779palmer_sem7_num30;125;2.5
0781palmer_sem7_num31;125;2.0
0783palmer_sem7_num32;125;2.5
0785palmer_sem7_num33;125;3.0
0787palmer_sem7_num34;125;2.0
0789palmer_sem7_num35;125;2.0
0791palmer_sem7_num36;125;1.5
0793palmer_sem7_num37;125;2.0
0795palmer_sem7_num38;125;2.0
0797palmer_sem7_num39;125;2.0
0799palmer_sem7_num40;125;1.5
0801palmer_sem7_num41;125;1.0
0803palmer_sem7_num42;125;2.0
0805palmer_sem7_num43;125;2.0
0807palmer_sem7_num44;125;2.5
0809palmer_sem7_num45;125;1.5
0811palmer_sem7_num46;125;1.0
0813palmer_sem7_num47;125;1.0
0815palmer_sem7_num48;125;2.0
0817palmer_sem7_num49;125;2.5
0819palmer_sem7_num50;125;2.0
0821palmer_sem7_num51;125;2.0
0823palmer_sem7_num52;125;2.5
0825palmer_sem7_num53;125;1.0
0827palmer_sem7_num54;125;1.0
0829palmer_sem7_num55;125;1.5
0831palmer_sem7_num56;125;1.0
0833palmer_sem7_num57;125;2.0
0835palmer_sem7_num58;125;2.0
0837palmer_sem7_num59;125;2.0
0839palmer_sem7_num60;125;2.5
0841palmer_sem8_num1;140;2.0
0843palmer_sem8_num2;140;1.0
0845palmer_sem8_num3;140;2.0
0847palmer_sem8_num4;140;1.0
0849palmer_sem8_num5;140;1.5
0851palmer_sem8_num6;140;1.5
0853palmer_sem8_num7;140;2.0
0855palmer_sem8_num8;140;2.0
0857palmer_sem8_num9;140;1.0
0859palmer_sem8_num10;140;1.0
0861palmer_sem8_num11;140;1.0
0863palmer_sem8_num12;140;2.0
0865palmer_sem8_num13;140;1.0
0867palmer_sem8_num14;140;1.0
0869palmer_sem8_num15;140;1.5
0871palmer_sem8_num16;140;1.5
0873palmer_sem8_num17;140;2.0
0875palmer_sem8_num18;140;1.0
0877palmer_sem8_num19;140;2.0
0879palmer_sem8_num20;140;1.0
0881palmer_sem8_num21;140;1.5
0883palmer_sem8_num22;140;1.0
0885palmer_sem8_num23;140;1.5
0887palmer_sem8_num24;140;2.5
0889palmer_sem8_num25;140;2.0
0891palmer_sem8_num26;140;2.0
0893palmer_sem8_num27;140;2.5
0895palmer_sem8_num28;140;1.5
0897palmer_sem8_num29;140;2.0
0899palmer_sem8_num30;140;1.5
0901palmer_sem8_num31;140;1.5
0903palmer_sem8_num32;140;1.0
0905palmer_sem8_num33;140;2.0
0907palmer_sem8_num34;140;1.5
0909palmer_sem8_num35;140;2.0
0911palmer_sem8_num36;140;2.0
0913palmer_sem8_num37;140;1.5
0915palmer_sem8_num38;140;2.5
0917palmer_sem8_num39;140;2.0
0919palmer_sem8_num40;140;2.0
0921palmer_sem8_num41;140;2.0
0923palmer_sem8_num42;140;1.0
0925palmer_sem8_num43;140;2.0
0927palmer_sem8_num44;140;1.5
0929palmer_sem8_num45;140;2.0
0931palmer_sem8_num46;140;1.0
0933palmer_sem8_num47;140;1.0
0935palmer_sem8_num48;140;2.0
0937palmer_sem8_num49;140;2.0
0939palmer_sem8_num50;140;2.0
0941palmer_sem8_num51;140;1.5
0943palmer_sem8_num52;140;1.5
0945palmer_sem8_num53;140;1.0
0947palmer_sem8_num54;140;1.5
0949palmer_sem8_num55;140;2.5
0951palmer_sem8_num56;140;2.0
0953palmer_sem8_num57;140;2.0
0955palmer_sem8_num58;140;2.0
0957palmer_sem8_num59;140;1.0
0959palmer_sem8_num60;140;1.5
0961palmer_sem9_num1;155;2.0
0963palmer_sem9_num2;155;2.5
0965palmer_sem9_num3;155;2.0
0967palmer_sem9_num4;155;3.5
0969palmer_sem9_num5;155;2.5
0971palmer_sem9_num6;155;1.0
0973palmer_sem9_num7;155;1.0
0975palmer_sem9_num8;155;2.5
0977palmer_sem9_num9;155;1.5
0979palmer_sem9_num10;155;3.0
0981palmer_sem9_num11;155;3.0
0983palmer_sem9_num12;155;2.0
0985palmer_sem9_num13;155;1.5
0987palmer_sem9_num14;155;2.0
0989palmer_sem9_num15;155;1.5
0991palmer_sem9_num16;155;1.5
0993palmer_sem9_num17;155;2.0
0995palmer_sem9_num18;155;2.0
0997palmer_sem9_num19;155;1.5
0999palmer_sem9_num20;155;2.0
1001palmer_sem9_num21;155;2.0
1003palmer_sem9_num22;155;2.5
1005palmer_sem9_num23;155;2.0
1007palmer_sem9_num24;155;1.5
1009palmer_sem9_num25;155;2.0
1011palmer_sem9_num26;155;2.0
1013palmer_sem9_num27;155;1.5
1015palmer_sem9_num28;155;1.0
1017palmer_sem9_num29;155;1.0
1019palmer_sem9_num30;155;2.0
1021palmer_sem9_num31;155;2.0
1023palmer_sem9_num32;155;2.5
1025palmer_sem9_num33;155;1.5
1027palmer_sem9_num34;155;1.5
1029palmer_sem9_num35;155;1.5
1031palmer_sem9_num36;155;1.5
1033palmer_sem9_num37;155;1.5
1035palmer_sem9_num38;155;1.0
1037palmer_sem9_num39;155;1.5
1039palmer_sem9_num40;155;2.0
1041palmer_sem9_num41;155;1.5
1043palmer_sem9_num42;155;1.0
1045palmer_sem9_num43;155;2.0
1047palmer_sem9_num44;155;1.5
1049palmer_sem9_num45;155;2.0
1051palmer_sem9_num46;155;2.0
1053palmer_sem9_num47;155;1.5
1055palmer_sem9_num48;155;2.5
1057palmer_sem9_num49;155;2.5
1059palmer_sem9_num50;155;1.5
1061palmer_sem9_num51;155;2.5
1063palmer_sem9_num52;155;1.5
1065palmer_sem9_num53;155;1.5
1067palmer_sem9_num54;155;2.0
1069palmer_sem9_num55;155;2.0
1071palmer_sem9_num56;155;2.0
1073palmer_sem9_num57;155;2.0
1075palmer_sem9_num58;155;1.5
1077palmer_sem9_num59;155;1.0
1079palmer_sem9_num60;155;1.5
1081palmer_sem10_num1;170;2.0
1083palmer_sem10_num2;170;1.0
1085palmer_sem10_num3;170;1.0
1087palmer_sem10_num4;170;1.0
1089palmer_sem10_num5;170;2.0
1091palmer_sem10_num6;170;2.0
1093palmer_sem10_num7;170;1.5
1095palmer_sem10_num8;170;1.0
1097palmer_sem10_num9;170;2.0
1099palmer_sem10_num10;170;3.0
1101palmer_sem10_num11;170;2.0
1103palmer_sem10_num12;170;2.0
1105palmer_sem10_num13;170;2.0
1107palmer_sem10_num14;170;1.5
1109palmer_sem10_num15;170;2.0
1111palmer_sem10_num16;170;2.0
1113palmer_sem10_num17;170;1.5
1115palmer_sem10_num18;170;1.5
1117palmer_sem10_num19;170;1.0
1119palmer_sem10_num20;170;1.0
1121palmer_sem10_num21;170;2.5
1123palmer_sem10_num22;170;2.0
1125palmer_sem10_num23;170;1.5
1127palmer_sem10_num24;170;1.5
1129palmer_sem10_num25;170;1.5
1131palmer_sem10_num26;170;1.5
1133palmer_sem10_num27;170;1.5
1135palmer_sem10_num28;170;1.5
1137palmer_sem10_num29;170;2.0
1139palmer_sem10_num30;170;1.5
1141palmer_sem10_num31;170;1.0
1143palmer_sem10_num32;170;1.0
1145palmer_sem10_num33;170;1.5
1147palmer_sem10_num34;170;1.5
1149palmer_sem10_num35;170;2.0
1151palmer_sem10_num36;170;2.0
1153palmer_sem10_num37;170;1.5
1155palmer_sem10_num38;170;1.0
1157palmer_sem10_num39;170;1.0
1159palmer_sem10_num40;170;2.0
1161palmer_sem10_num41;170;1.0
1163palmer_sem10_num42;170;2.5
1165palmer_sem10_num43;170;1.5
1167palmer_sem10_num44;170;1.0
1169palmer_sem10_num45;170;2.5
1171palmer_sem10_num46;170;2.0
1173palmer_sem10_num47;170;2.0
1175palmer_sem10_num48;170;2.5
1177palmer_sem10_num49;170;1.0
1179palmer_sem10_num50;170;1.5
1181palmer_sem10_num51;170;1.5
1183palmer_sem10_num52;170;2.0
1185palmer_sem10_num53;170;2.0
1187palmer_sem10_num54;170;2.5
1189palmer_sem10_num55;170;2.0
1191palmer_sem10_num56;170;2.0
1193palmer_sem10_num57;170;1.5
1195palmer_sem10_num58;170;1.5
1197palmer_sem10_num59;170;1.5
1199palmer_sem10_num60;170;2.0
1201palmer_sem11_num1;180;1.0
1203palmer_sem11_num2;180;2.0
1205palmer_sem11_num3;180;1.0
1207palmer_sem11_num4;180;1.5
1209palmer_sem11_num5;180;1.0
1211palmer_sem11_num6;180;2.0
1213palmer_sem11_num7;180;2.0
1215palmer_sem11_num8;180;1.0
1217palmer_sem11_num9;180;1.0
1219palmer_sem11_num10;180;1.5
1221palmer_sem11_num11;180;1.0
1223palmer_sem11_num12;180;0.0
1225palmer_sem11_num13;180;2.5
1227palmer_sem11_num14;180;1.5
1229palmer_sem11_num15;180;1.0
1231palmer_sem11_num16;180;1.0
1233palmer_sem11_num17;180;1.0
1235palmer_sem11_num18;180;1.0
1237palmer_sem11_num19;180;1.5
1239palmer_sem11_num20;180;1.5
1241palmer_sem11_num21;180;1.0
1243palmer_sem11_num22;180;1.5
1245palmer_sem11_num23;180;2.0
1247palmer_sem11_num24;180;1.0
1249palmer_sem11_num25;180;1.0
1251palmer_sem11_num26;180;1.0
1253palmer_sem11_num27;180;1.5
1255palmer_sem11_num28;180;1.0
1257palmer_sem11_num29;180;2.0
1259palmer_sem11_num30;180;1.0
1261palmer_sem12_num1;190;0.6666666666666666
1263palmer_sem12_num2;190;0.5
1265palmer_sem12_num3;190;1.5
1267palmer_sem12_num4;190;0.5
1269palmer_sem12_num5;190;1.0
1271palmer_sem12_num6;190;0.5
1273palmer_sem12_num7;190;1.0
1275palmer_sem12_num8;190;1.0
1277palmer_sem12_num9;190;1.0
1279palmer_sem12_num10;190;0.0
1281palmer_sem12_num11;190;1.0
1283palmer_sem12_num12;190;1.0
1285palmer_sem12_num13;190;1.0
1287palmer_sem12_num14;190;1.0
1289palmer_sem12_num15;190;1.0
1291palmer_sem12_num16;190;1.0
1293palmer_sem12_num17;190;1.0
1295palmer_sem12_num18;190;0.5
1297palmer_sem12_num19;190;1.0
1299palmer_sem12_num20;190;1.0
1301palmer_sem12_num21;190;1.0
1303palmer_sem12_num22;190;1.0
1305palmer_sem12_num23;190;0.5
1307palmer_sem12_num24;190;1.0
1309palmer_sem12_num25;190;1.0
1311palmer_sem12_num26;190;1.0
1313palmer_sem12_num27;190;1.5
1315palmer_sem12_num28;190;1.0
1317palmer_sem12_num29;190;1.0
1319palmer_sem12_num30;190;1.0
