ind;time;area;height;width;diameter
0733palmer_sem7_num7;125;5329495.5;3439.0;2097.5;2604.84979424468
0735palmer_sem7_num8;125;5427248.0;3557.5;2064.5;2628.7101991335194
0737palmer_sem7_num9;125;5014773.5;3323.5;1957.0;2526.857231612689
0739palmer_sem7_num10;125;5749148.0;3654.5;2181.5;2705.531811006761
0741palmer_sem7_num11;125;5213158.0;3465.5;2009.0;2576.3537480820314
0743palmer_sem7_num12;125;6140987.5;3586.0;2178.0;2796.2355535611823
0745palmer_sem7_num13;125;5000993.0;3300.5;2029.5;2523.359171443755
0747palmer_sem7_num14;125;5259395.5;3405.5;2011.5;2587.753878394755
0749palmer_sem7_num15;125;5133781.5;3498.0;1971.5;2556.6492813501345
0751palmer_sem7_num16;125;4571057.0;3128.0;1936.5;2412.459259001893
0753palmer_sem7_num17;125;5286289.5;3525.5;2044.5;2594.3579485143077
0755palmer_sem7_num18;125;4922353.0;3409.5;2004.0;2503.451676076601
0757palmer_sem7_num19;125;4929497.5;3257.5;1996.5;2505.26398977388
0759palmer_sem7_num20;125;4793018.5;3331.0;1985.0;2470.344789091759
0761palmer_sem7_num21;125;5208573.0;3315.5;2088.5;2575.218053007352
0763palmer_sem7_num22;125;5105623.5;3331.5;2045.0;2549.641772982367
0765palmer_sem7_num23;125;5307006.5;3384.5;2047.0;2599.3749434549136
0767palmer_sem7_num24;125;5045495.0;3385.5;1993.5;2534.5854516881946
0769palmer_sem7_num25;125;4767836.0;3274.5;1916.0;2463.858150806152
0771palmer_sem7_num26;125;4581975.0;3212.0;1911.0;2415.357459720656
0773palmer_sem7_num27;125;5246588.5;3379.5;2066.5;2584.539589152503
0775palmer_sem7_num28;125;4794131.0;3318.0;1938.5;2470.6283412847088
0777palmer_sem7_num29;125;4837567.0;3342.5;1941.5;2481.8046758658616
0779palmer_sem7_num30;125;4607324.0;3227.0;1892.0;2421.9991772861263
0781palmer_sem7_num31;125;5194102.0;3357.0;2084.5;2571.640708028784
0783palmer_sem7_num32;125;5048673.0;3407.0;2025.0;2535.382699242729
0785palmer_sem7_num33;125;4593117.5;3187.5;1933.0;2418.243291075135
0787palmer_sem7_num34;125;5133102.0;3447.5;1986.0;2556.473226028197
0789palmer_sem7_num35;125;5691465.0;3475.5;2128.5;2691.941325714267
0791palmer_sem7_num36;125;5291351.0;3357.0;2047.5;2595.5919763985794
0793palmer_sem7_num37;125;5150491.5;3427.5;2034.5;2560.793943603125
0795palmer_sem7_num38;125;5667651.0;3690.0;2092.0;2686.26740492446
0797palmer_sem7_num39;125;5262733.5;3411.5;2107.0;2588.522453015148
0799palmer_sem7_num40;125;5365435.5;3471.0;2088.5;2613.7079022182106
0801palmer_sem7_num41;125;5619592.5;3525.5;2117.0;2674.885802745539
0803palmer_sem7_num42;125;5432329.5;3431.0;2104.5;2629.9163076348696
0805palmer_sem7_num43;125;5449110.5;3417.5;2162.5;2634.012546967394
0807palmer_sem7_num44;125;5362679.0;3520.5;2065.5;2613.038809036715
0809palmer_sem7_num45;125;5207331.0;3474.0;2022.0;2574.9133002832527
0811palmer_sem7_num46;125;5100204.5;3438.5;2007.0;2548.285816329555
0813palmer_sem7_num47;125;5351973.0;3375.0;2095.5;2610.348577272859
0815palmer_sem7_num48;125;5409501.0;3477.0;2090.5;2624.421934992083
0817palmer_sem7_num49;125;5072485.5;3337.5;2063.5;2541.3508162369667
0819palmer_sem7_num50;125;5240749.5;3342.5;2049.5;2583.1359341249554
0821palmer_sem7_num51;125;5381018.5;3424.0;2084.0;2617.4935088126904
0823palmer_sem7_num52;125;5795899.5;3572.0;2179.0;2716.503668945857
0825palmer_sem7_num53;125;4545281.5;3210.5;1898.0;2405.665338578585
0827palmer_sem7_num54;125;5560411.5;3562.0;2101.5;2660.633075760519
0829palmer_sem7_num55;125;5189228.5;3416.5;2046.0;2570.4336670471794
0831palmer_sem7_num56;125;5679267.5;3658.0;2042.5;2689.058913297586
0833palmer_sem7_num57;125;5199241.5;3377.5;2048.5;2572.9126319256466
0835palmer_sem7_num58;125;5688022.0;3425.5;2199.5;2691.109898129768
0837palmer_sem7_num59;125;5582817.0;3477.5;2093.0;2666.1314522460198
0839palmer_sem7_num60;125;5201889.5;3343.0;2042.0;2573.5655656444205
0841palmer_sem8_num1;140;5156328.0;3428.5;2047.0;2562.270771982029
0843palmer_sem8_num2;140;5247879.0;3462.5;2112.0;2584.9190127850115
0845palmer_sem8_num3;140;5787798.5;3635.5;2161.0;2714.6340515822376
0847palmer_sem8_num4;140;5308263.0;3412.5;2072.5;2599.740250334842
0849palmer_sem8_num5;140;5469438.0;3645.5;2049.0;2638.8955276869533
0851palmer_sem8_num6;140;4910568.5;3389.5;1982.0;2500.4656645755786
0853palmer_sem8_num7;140;5412929.5;3513.0;2016.0;2625.22973829854
0855palmer_sem8_num8;140;5466233.5;3455.5;2069.0;2638.143371524482
0857palmer_sem8_num9;140;5307498.0;3356.0;2029.5;2599.5534796661623
0859palmer_sem8_num10;140;5267121.0;3378.5;2037.5;2589.646884258124
0861palmer_sem8_num11;140;5473190.0;3366.5;2138.5;2639.8158222739585
0863palmer_sem8_num12;140;5252531.5;3364.0;2044.5;2586.064578247756
0865palmer_sem8_num13;140;5614728.0;3567.5;2110.0;2673.7412172518843
0867palmer_sem8_num14;140;5938737.0;3645.5;2197.5;2749.800266095762
0869palmer_sem8_num15;140;5325346.5;3483.0;2099.0;2603.913247166918
0871palmer_sem8_num16;140;5195697.0;3462.0;2041.5;2572.001535460612
0873palmer_sem8_num17;140;5776005.5;3665.5;2124.0;2711.8698690836263
0875palmer_sem8_num18;140;6011966.5;3679.5;2158.5;2766.705713955079
0877palmer_sem8_num19;140;5386569.0;3292.5;2177.0;2618.852999522268
