ind;time;bcd;cd;dd
0677palmer_sem6_num39;110;1.021827767;-0.022700363;-1.196045528
0679palmer_sem6_num40;110;1.029827965;-0.022584432;-0.99740001
0681palmer_sem6_num41;110;1.025109126;-0.022636708;-1.254336898
0683palmer_sem6_num42;110;1.020484399;-0.022717637;-1.23924758
0685palmer_sem6_num43;110;1.047589042;-0.022954497;-1.02304128
0687palmer_sem6_num44;110;1.018053616;-0.022787886;-1.227815327
0689palmer_sem6_num45;110;1.037382653;-0.022635955;-1.068241281
0691palmer_sem6_num46;110;1.061983229;-0.022789125;-1.10877996
0693palmer_sem6_num47;110;1.018265167;-0.022637396;-1.051399288
0695palmer_sem6_num48;110;1.046817578;-0.023020994;-1.083724985
0697palmer_sem6_num49;110;1.046363891;-0.022802375;-1.148266993
0699palmer_sem6_num50;110;1.054501665;-0.0228684;-0.995065974
0701palmer_sem6_num51;110;1.024062499;-0.022767923;-1.225314333
0703palmer_sem6_num52;110;1.026028517;-0.022690795;-1.266906101
0705palmer_sem6_num53;110;1.060474456;-0.022946686;-1.097923342
0707palmer_sem6_num54;110;1.032570167;-0.022888642;-1.112219735
0709palmer_sem6_num55;110;1.020251637;-0.022765305;-1.184035606
0711palmer_sem6_num56;110;1.018554552;-0.022722838;-1.157017022
0713palmer_sem6_num57;110;1.043646472;-0.02276258;-1.080809473
0715palmer_sem6_num58;110;1.068488727;-0.023038083;-1.062865175
0717palmer_sem6_num59;110;1.047969817;-0.022896556;-1.0555803
0719palmer_sem6_num60;110;1.043769778;-0.022936743;-1.135325928
0721palmer_sem7_num1;125;1.018874918;-0.022552145;-1.155954483
0723palmer_sem7_num2;125;1.032559484;-0.022451012;-1.055795393
0725palmer_sem7_num3;125;1.024861154;-0.022584168;-1.119232872
0727palmer_sem7_num4;125;1.015963617;-0.022757251;-1.181919925
0729palmer_sem7_num5;125;1.027023246;-0.022605175;-1.123982776
0731palmer_sem7_num6;125;1.040694739;-0.022800941;-1.14025835
0733palmer_sem7_num7;125;1.033693876;-0.022633115;-1.103442196
0735palmer_sem7_num8;125;1.029054617;-0.022657848;-1.152087564
0737palmer_sem7_num9;125;1.054940393;-0.022895278;-1.158038979
0739palmer_sem7_num10;125;1.02409679;-0.022499854;-1.114681128
0741palmer_sem7_num11;125;1.022906423;-0.022761724;-1.168344083
0743palmer_sem7_num12;125;1.026947611;-0.022533203;-1.044839769
