;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy7_IMG_0299_20170816;119.33876297841292;115.91735030506972;113.82505699963563;66.59835959156736;35.29959833453004;120.12728450654792;122.42498636965234;129.30803826588934;130.0547371765332
tommy7_IMG_0304_20170816;119.64929215963647;122.31540624464165;112.22151904810387;71.30260432295239;46.284740529978286;123.57308512034894;127.85711884814744;125.19720606897648;133.53848519170452
tommy7_IMG_0309_20170816;119.1283457424197;119.39628561305084;112.47736435738884;68.14342150973793;39.20550729675712;121.04981177617384;125.39019024660992;126.75934041620228;132.18900402681328
tommy7_IMG_0314_20170816;116.47338560197687;112.80183015046295;112.12920001134188;64.99099894708074;33.679179794667355;117.18815238125859;119.03323750785894;129.71415882782134;129.12342207236654
tommy7_IMG_0319_20170816;112.97041544763806;115.75720092047823;105.32618041489842;70.39936857219149;50.16816081398962;116.9766559365355;121.0537701028092;125.03149514531893;133.83401987418551
tommy7_IMG_0324_20170816;115.95408146862141;115.4930774355567;109.42554084906908;70.66767593753572;42.936550843317754;117.71556495279276;121.20801590586777;127.15998707070543;131.94213459728294
tommy7_IMG_0329_20170816;115.74710268597107;111.1831280185471;111.13463155417665;70.18579095980867;36.901032680237634;116.55347695544695;117.55437330988156;130.21659710835692;128.97076960224837
tommy7_IMG_0334_20170816;116.57537169210106;115.96389838882817;112.37995933668768;70.05159538698129;36.30218039793024;117.93615672421555;121.47813384130659;127.6125395626143;130.43087811812342
tommy7_IMG_0339_20170816;117.53098677019031;117.9702516267111;111.53129141571644;69.4311589858932;41.1674910738526;119.72590637904736;123.69128406805484;126.72653280571274;131.86291699263404
tommy7_IMG_0344_20170816;115.95729749389145;111.05426039344708;111.38969018811443;78.42890835985726;37.528460355670575;116.70972790432457;117.56861975817688;130.38208811567645;128.77992385982867
tommy7_IMG_0349_20170816;119.33444167818716;116.62782185035152;112.98266199684929;70.24913278168938;40.14900531951946;120.20758299441658;122.8479856779764;128.69854672139346;130.8232520669903
tommy7_IMG_0354_20170816;116.18589288042624;112.74394777958176;110.21035946609226;67.88117311858782;39.964651239479736;117.07201802376257;118.99569243059128;129.23752655740955;130.2257660009788
